"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Energy intensity level of primary energy (MJ/$2011 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.32454092428131","","",
"Afghanistan","AFG","Energy intensity level of primary energy (MJ/$2011 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.88411277331996","1.99591306318908","1.33250174740999","1.76063654184963","2.24561299646338","1.48569193557955","1.54847691566463","1.59923664309762","1.64897788583862","1.57068110175532","1.68617312382687","1.8273988865553","1.36028256182598","1.32502825287787","1.14399635836639","1.26764724208131","1.40862313227307","1.46093757483826","2.14758991176544","2.61706039799516","2.93993655831435","3.7559233122206","2.98475717572819","2.75118171303033","2.63753256874586","2.45770500221765","","",
"Angola","AGO","Energy intensity level of primary energy (MJ/$2011 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.60529971830761","4.77285795797546","5.1551804048927","7.0903466049636","6.94423140874873","6.28504108457549","5.81600177057866","5.50756315209878","5.14365372753651","5.23314828658247","5.21828089060902","5.22724830275015","5.87651279748667","6.02511969108891","5.59072840597349","4.56853458941781","4.15163362371784","3.61227313482103","3.43536775588835","3.64542773993288","3.69791414414492","3.69596755483713","3.85707799126981","3.615593682837","3.64620058216181","3.60595906776897","","",
"Albania","ALB","Energy intensity level of primary energy (MJ/$2011 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.91224319575929","7.86689333061773","6.15327482195976","5.50133730915865","5.40208455962668","4.47854695486581","4.38099071821597","4.19322072957328","4.24086414788511","5.01370938014992","4.70543745478217","4.44333927069421","4.69696080798613","4.34437721419277","4.51718737428514","4.27571653292244","3.95869306438034","3.56830033075486","3.44266337837328","3.40910494349766","3.25674823642822","3.32280096667451","2.94132361651685","3.38252848875172","3.15887895342285","2.88661148238797","","",
"Andorra","AND","Energy intensity level of primary energy (MJ/$2011 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Energy intensity level of primary energy (MJ/$2011 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.15975109297175","4.53112836670917","4.70895740536044","4.86674346013347","4.99346479269563","4.95885239339328","4.91989816367545","4.8205684239342","4.61844415429513","4.54807528695823","4.50605043588256","4.72281965231377","4.88976403191561","4.80707306823271","4.66457344416597","4.63444227765275","4.63911900177246","4.57600587021474","4.62634510725905","4.78961597611168","4.85764714752712","4.75759245106888","4.87940997026932","4.76272786546025","4.83398661157537","4.76086502988521","","",
"United Arab Emirates","ARE","Energy intensity level of primary energy (MJ/$2011 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.12210725916144","4.70004051243172","4.32893362244348","4.49618332976289","4.66050623180428","4.6418217347716","4.63229292601779","4.52289620899909","4.61172153893724","4.57628454411281","4.0360784768934","5.07642357328351","4.91555258858945","4.44491124919217","4.32794463707746","4.38842605501005","4.14802019469896","4.36304004251536","5.00209782703849","5.33531493869075","5.40154355355919","5.35437816158238","5.32471268826949","5.22046541493008","5.2682285260819","5.08041965843662","","",
"Argentina","ARG","Energy intensity level of primary energy (MJ/$2011 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4390966150615","4.97639131756251","4.67515678215628","4.42726697484486","4.44994520448956","4.64626030192915","4.56540438200189","4.35809556241409","4.34004774245514","4.56906827299307","4.66000419810886","4.63730638645308","5.05808673345645","4.97266769429361","4.98235701768587","4.6031075504488","4.63074898615192","4.30281027914211","4.35285195831845","4.5033185148229","4.2511819557134","4.10057606014049","4.15885335147252","4.17514182389459","4.34415636771924","4.34010162122093","","",
"Armenia","ARM","Energy intensity level of primary energy (MJ/$2011 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3721969396273","29.0941859851491","25.4143345328659","14.7916768290745","8.82377109776747","9.84732009234641","10.0733707331614","10.1918125362701","9.67417893514951","9.05485791456631","9.3951257242567","8.53789431138082","7.05669786250389","6.53360688599926","6.25343040085187","6.58665631394334","5.92589637201904","5.80875854763118","5.72185956521961","5.79058510971917","5.39073412326074","5.63053987808689","5.74563091169636","5.43058112937585","5.34738126773887","5.38244293235421","","",
"American Samoa","ASM","Energy intensity level of primary energy (MJ/$2011 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Energy intensity level of primary energy (MJ/$2011 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.95388221620407","3.71041823574393","3.63986077257545","3.53063688185436","3.28467528008195","3.50668385966296","3.45693612214209","3.46155127446793","3.4307639700806","3.41540188768735","3.37133214236793","3.51218536138011","3.64021708844071","3.70822557986091","3.67515491609099","3.53651981506678","3.24917653883713","3.11633481101568","3.19045390361605","3.82872188916886","4.18138936186965","4.1842523050426","4.13779727112478","4.15217458735459","4.01155114083803","3.89162926503199","","",
