"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.85912247946194","6.93795012657542","7.98850519646638","10.5167811516293","11.0361845395994","11.429836990904","9.88808445655444","9.35090998545259","8.56401983423412","10.0882273769747","","",
"Angola","AGO","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0091980140935","52.7883851391081","41.6333607635908","32.5599401789728","37.1352318655601","32.7583608383528","31.9835828468367","57.7875815657418","48.5718467045103","44.8778705493134","20.7224466426068","35.5343963701294","47.8789700421804","40.7184011409861","39.0781034517417","35.5105228064403","21.259998812078","16.6749464014331","",
"Albania","ALB","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2013618355212","13.6328349675056","15.3364712736782","21.7736699695952","","","","23.5102690129242","23.6744382345281","24.113882316299","","","","","","","23.9003179095607","23.0507103007423","22.3049555248826","24.5251045616073","24.738150200759","24.2329542565977","",
"Andorra","AND","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.56351712747652","6.91292989917744","6.51896326009429","","","","","","","","","","","","3.41298208043121","3.24515893435338","3.13471740749789","3.0093695937545","3.53040660735708","4.03139248583029","",
"Argentina","ARG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3875396339054","11.1620910357746","12.2806411476509","15.0995556252854","14.8638517712865","14.0262971514164","13.0408350549651","13.6002991200544","13.7561266874785","14.0111384261594","14.1776102532074","13.7775019608536","14.0561136349095","17.1997019513553","16.7347777696665","16.6216575161027","17.2017551603052","17.9300729987004","18.9717341522181","20.1360210279783","21.2413164267537","20.196408074281","21.182234604867","21.5652829643596","22.3322943705014","22.1490803040164","21.3590054231199","",
"Armenia","ARM","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1983826790851","19.3048587396415","19.7633111464399","21.3849781783405","22.8602935610245","22.2532496488502","22.6479513525881","22.7264264431653","22.597804052938","","24.5145567085198","23.0924926716717","22.8347288893173","",
"American Samoa","ASM","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5264491348754","16.5268369495319","17.8589176422919","18.3032552426237","19.0238508174228","17.8875947515079","19.2924856430939","20.4661517862882","19.92043829703","18.026137480479","20.5543461678814","19.3388701514398","19.7700912213959","18.5606253484664","19.2410200037033","","","",
"Australia","AUS","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","20.4326220403391","19.4852719412888","20.334566938281","22.1082076439746","22.6142549841972","23.0015616866216","23.0835232093657","22.2507127313214","22.7397871865466","23.6810098287367","23.8412029389987","24.2567817672254","23.6123286065862","25.1559074558883","25.5101766254733","26.2241886873029","25.6718712377989","24.7695814925243","24.4782563488095","24.2520004149187","22.7495567407365","22.0503058407463","22.2571724259354","23.0977804827253","23.7096734451733","24.2357610694213","24.1517980877304","25.1737251149966","25.9545530892369","27.0763629346478","26.0047510222921","26.6638189021618","26.636015414751","27.096158688536","27.0267013083008","26.4649424731257","26.6459250665753","24.5047691253769","23.3395351629885","22.7174857642275","23.5649385355425","24.4705264159825","24.4426536055186","24.5092524750155","24.8486385908928","",
"Austria","AUT","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","27.7411489059892","28.2436888293991","28.7081224669594","29.3082446832646","29.2718550239018","29.6846304225092","31.9795435379374","31.9140917413544","32.4038908806975","33.5038364143348","32.4486439545485","31.9864052597567","33.357868813904","32.9148945052002","32.652324402701","32.6857774049199","33.6069239919765","32.9085863011595","33.0288085170801","33.3178288384397","34.7971707546728","35.0832706675686","35.0308354146301","42.8237559011091","43.9549431338339","44.1717990357971","44.1274081584602","44.3518532054213","43.7772206161536","45.5358093510271","44.5222625757039","44.0881719274435","43.852540967284","43.5413074633898","42.984047946332","43.0073924396319","43.7472747913438","43.8938603898113","43.5116566379395","43.5698009980761","44.1659021988304","44.8594733972564","44.7586883211331","45.0711577242591","44.0680377287184","",
"Azerbaijan","AZE","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6062415293797","17.9983597338082","13.7670091925757","14.8817140975468","17.8806377920259","17.5729891816862","","","","","","","","","49.3018945018586","40.8898501467635","46.8289179324149","45.4813563227219","41.2739730781807","40.4057956068887","39.8963976405639","34.1837072453108","","",
"Burundi","BDI","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8095026852542","16.4902485266402","16.4563406301949","17.2423527668912","17.6803477555392","16.0817179779552","12.1056009334889","14.7643653173413","13.9517018006148","","","","","","","","","","","14.814837085498","15.8699274569539","15.0749107549818","13.1366555377082","","","","",
"Belgium","BEL","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1482507449822","41.6405948993806","41.8638953093946","42.4446542618521","42.1741337941087","42.1134914918171","42.1598158535135","41.0855103028338","40.3073912958871","40.2750084697306","40.2603948622194","39.9037721241613","39.5279254451173","40.4877453603976","39.5258802727556","40.1030401218295","40.8359344067878","42.1342342879395","42.8278242482664","42.5653354610227","40.6949466292785","38.6222264913021","",
"Benin","BEN","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5734353427638","15.3234348101456","15.1597732319588","15.4332645499456","14.642168226182","15.3536990164008","18.9831017147151","17.3280963086628","16.4198282535211","17.2661715628005","16.1697315665274","15.7340073035967","16.7348201852302","","","","",
